5.114083999999999852e-01,1.253076999999999941e-01,2.812774000000000107e-01,3.357709999999999861e-02,1.682629999999999890e-02
7.577532999999999630e-01,1.375336000000000058e-01,3.495848999999999762e-01,1.916529999999999970e-02,5.788209999999999883e-02
5.324864999999999737e-01,5.992000000000000104e-02,2.127644999999999953e-01,2.534749999999999850e-02,1.980540000000000078e-02
6.771721000000000545e-01,1.050637999999999989e-01,2.439996000000000109e-01,4.055260000000000115e-02,3.857780000000000237e-02
6.016783999999999466e-01,1.197814999999999991e-01,2.292655000000000109e-01,3.257430000000000048e-02,2.376440000000000149e-02
4.990262999999999782e-01,1.296480999999999884e-01,2.847858999999999807e-01,2.983279999999999960e-02,2.764099999999999890e-02
6.397998000000000296e-01,1.174176999999999998e-01,2.410895999999999872e-01,4.104950000000000265e-02,2.195739999999999845e-02
6.665162999999999505e-01,1.531026000000000054e-01,2.787839999999999763e-01,2.646779999999999966e-02,3.784450000000000314e-02
6.550825000000000120e-01,1.344606000000000134e-01,2.969044000000000127e-01,4.631799999999999806e-02,5.071989999999999832e-02
5.613432000000000421e-01,1.296161000000000119e-01,3.006355000000000000e-01,6.223139999999999922e-02,3.785820000000000157e-02
6.327789000000000330e-01,1.626594000000000095e-01,2.968167999999999918e-01,4.682050000000000101e-02,3.573880000000000112e-02
5.789697999999999789e-01,1.737575000000000092e-01,2.672784000000000271e-01,5.670610000000000234e-02,3.868110000000000298e-02
4.554958000000000062e-01,1.444664999999999977e-01,1.831547000000000036e-01,3.172330000000000289e-02,1.687140000000000167e-02
5.145184999999999897e-01,1.465935999999999906e-01,2.932683999999999847e-01,4.847010000000000207e-02,3.296450000000000075e-02
7.761230000000000073e-01,1.688153000000000015e-01,3.116092999999999780e-01,6.539050000000000418e-02,2.965589999999999893e-02
8.114472999999999825e-01,1.263298999999999950e-01,3.499490000000000101e-01,5.002519999999999883e-02,4.496619999999999784e-02
6.011684999999999945e-01,1.919364000000000070e-01,3.008133000000000057e-01,4.137090000000000212e-02,4.363709999999999811e-02
7.574537999999999549e-01,1.868075999999999903e-01,3.076427999999999940e-01,5.518150000000000138e-02,4.144040000000000223e-02
6.885018000000000526e-01,1.660743000000000080e-01,3.088810000000000167e-01,6.227219999999999978e-02,2.735869999999999969e-02
7.144570000000000087e-01,1.356247999999999898e-01,2.463529999999999887e-01,6.753009999999999569e-02,3.800869999999999943e-02
5.471061999999999870e-01,1.364182999999999923e-01,2.818886999999999921e-01,3.489600000000000340e-02,2.792230000000000059e-02
6.503489999999999549e-01,2.041038000000000019e-01,3.138404000000000194e-01,5.547230000000000216e-02,2.670140000000000013e-02
6.697518999999999556e-01,1.413959999999999939e-01,3.574007000000000156e-01,5.874530000000000030e-02,7.179159999999999708e-02
